,id,infoid,name,city,wifi,seat,quiet,tasty,cheap,music,url,address,latitude,longitude,limited_time,socket,standing_desk,mrt,open_time,info_id,place_id,formatted_address,business_status,location_lat,location_lng,viewport_ne_lat,viewport_ne_lng,viewport_sw_lat,viewport_sw_lng,compound_code,global_code,rating,user_ratings_total,types,cluster
0,39,2ec53c31-4806-4025-b911-bc309f2dfaa1,喵思咖啡,changhua,2,5,5,5,5,5,https://www.facebook.com/muse.cofe,彰化縣福興鄉沿海路五段18號,24.04444090,120.42765990,no,maybe,no,,,39,ChIJ88mw5FZPaTQR7yU-jx2DsMY,506台灣彰化縣福興鄉沿海路五段18號,OPERATIONAL,24.044267,120.4276155,24.04562307989272,120.4289522798927,24.04292342010728,120.4262526201072,2CVH+P2 福興鄉 彰化縣,7QP22CVH+P2,4.7,158,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",3
1,40,99bdb9a3-acfb-41b0-b5b1-24d18a2ce7b8,53咖啡,changhua,0,4,5,5,5,3,https://www.facebook.com/53coffeelove,彰化市民權路53巷2號,24.07537180,120.54209120,,,,,,40,ChIJZ06izY84aTQRoVRScJz7qwY,500台灣彰化縣彰化市民權路53巷2號,OPERATIONAL,24.0753303,120.542198,24.07668267989272,120.5435784298927,24.07398302010728,120.5408787701073,3GGR+4V 彰化市 彰化縣,7QP23GGR+4V,4.9,83,"[""cafe"", ""point_of_interest"", ""food"", ""store"", ""establishment""]",3
2,41,924f80e8-9ce2-4743-b431-58ba35f2e16b,Dreasist Coffee Roasters® 郡‧瑟斯特咖啡烘焙者,changhua,5,5,5,5,5,5,https://www.facebook.com/dreasistcoffee/,彰化縣員林市惠明街168巷72號,23.95233070,120.56859960,no,maybe,yes,,週一、週二、週五、週六、週日,41,ChIJjUVmqWA2aTQRSdMq9qbdNhU,510台灣彰化縣員林市惠明街168巷72號,OPERATIONAL,23.952331,120.5686,23.95367327989272,120.5699160298927,23.95097362010728,120.5672163701072,XH29+WC 員林市 彰化縣,7QM2XH29+WC,4.8,32,"[""food"", ""point_of_interest"", ""establishment""]",3
3,42,3501cb44-3268-4802-b4ac-804403d875ed,Beginning Cafe人之初‧手作咖啡,changhua,5,4,3,5,5,5,https://www.facebook.com/beginning150530,彰化縣彰化市彰化市中山路二段72號之 1 號,24.06763700,120.53984000,no,no,yes,,,42,ChIJ712BW5A4aTQRhK6r1dXR5M4,500台灣彰化縣彰化市中山路二段72號之 1 號,CLOSED_PERMANENTLY,24.0677186,120.5397611,24.06913047989272,120.5410441298928,24.06643082010728,120.5383444701073,3G9Q+3W 彰化市 彰化縣,7QP23G9Q+3W,4.7,123,"[""cafe"", ""food"", ""point_of_interest"", ""store"", ""establishment""]",0
4,43,c99622aa-bbc8-4153-9c63-6034c62ba34b,摩露啡Moluficafe,changhua,5,5,5,4,5,4,https://www.facebook.com/moluficafe/,510彰化縣員林市成功東路317巷22號,23.95809550,120.58290150,no,maybe,yes,,11:00~21:00,43,ChIJkZXmaP82aTQRXZsK4xRndF4,510台灣彰化縣員林市成功東路317巷22號,CLOSED_TEMPORARILY,23.9580955,120.5829015,23.95952627989272,120.5842568298927,23.95682662010728,120.5815571701072,XH5M+65 員林市 彰化縣,7QM2XH5M+65,4.6,83,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",0
5,44,ffcf66fd-7044-4b51-9c67-406488ffd976,Bruce Coffee自家焙煎咖啡,changhua,0,5,4,5,5,4,,彰化縣伸港鄉中山東路119號,24.14761380,120.48789670,no,maybe,yes,,,44,ChIJt450mOZAaTQRIdhswo5nakc,509台灣彰化縣伸港鄉中山東路119號,OPERATIONAL,24.1475324,120.4879133,24.14886797989272,120.4892661298927,24.14616832010728,120.4865664701073,4FXQ+25 伸港鄉 彰化縣,7QP24FXQ+25,4.8,133,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",0
6,45,18e98010-98fb-4302-ade2-5c60a03d4946,MamiCoffee媽咪咖啡館,changhua,0,5,4,5,4,4,https://www.facebook.com/micafeshop/,彰化縣和美鎮彰草路二段442號-3號,24.08140790,120.50506600,maybe,maybe,yes,,,45,ChIJn1Ybd4iuQjQRVdKwTlJxVLQ,111台灣台北市士林區天母西路73號,OPERATIONAL,25.1186205,121.5253492,25.11989162989272,121.5266957298928,25.11719197010728,121.5239960701073,4G9G+C4 士林區 台北市,7QQ34G9G+C4,4.1,112,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",4
7,46,a62ea40b-7f5a-443f-9c06-719dbc1ea5b9,All In Coffee （安靜空間，同組只接待2位入座）,changhua,0,0,0,0,0,0,,510彰化縣員林市和平東街60-1號,23.96260300,120.57559600,maybe,maybe,yes,,,46,ChIJ6w75-_Y2aTQRaLXRVH8OSBk,510台灣彰化縣員林市和平東街60-1號,OPERATIONAL,23.962603,120.575596,23.96378577989272,120.5769817298927,23.96108612010728,120.5742820701073,XH7G+26 員林市 彰化縣,7QM2XH7G+26,4.4,542,"[""cafe"", ""food"", ""point_of_interest"", ""store"", ""establishment""]",1
8,47,4cf30e10-b28e-43d6-b68f-64d8c0b7156a,白色方塊咖啡工作室,changhua,4,5,3.5,3.5,3.5,4.5,https://www.facebook.com/whitecube23/,彰化縣彰化市公園路一段50號,24.07682500,120.54583100,no,maybe,no,,,47,ChIJmc4jI5I4aTQRjDizYakngD8,500台灣彰化縣彰化市公園路一段50號,OPERATIONAL,24.0768433,120.545833,24.07822797989272,120.5471836298927,24.07552832010728,120.5444839701073,3GGW+P8 彰化市 彰化縣,7QP23GGW+P8,4.6,270,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",2
9,48,c89a99c5-95ae-4909-93e5-59bebaf876d1,YOLO's Cafe,changhua,5,4.5,4.5,3.5,3,5,https://www.facebook.com/yolocafe.tw/,彰化縣彰化市中正路一段430號,24.08280000,120.54268500,,,,,,48,ChIJZ7tjiMyrQjQRwpoTp3_Fmec,106台灣台北市大安區通安街45號,OPERATIONAL,25.0314505,121.5533464,25.03280092989272,121.5546772798927,25.03010127010727,121.5519776201073,2HJ3+H8 大安區 台北市,7QQ32HJ3+H8,4.5,377,"[""cafe"", ""restaurant"", ""food"", ""store"", ""point_of_interest"", ""establishment""]",2
