,id,infoid,name,city,wifi,seat,quiet,tasty,cheap,music,url,address,latitude,longitude,limited_time,socket,standing_desk,mrt,open_time,info_id,place_id,formatted_address,business_status,location_lat,location_lng,viewport_ne_lat,viewport_ne_lng,viewport_sw_lat,viewport_sw_lng,compound_code,global_code,rating,user_ratings_total,types,cluster
0,3,a6ee8554-d177-4bb7-8eaa-bb35333e6923,cama café 新竹巨城店,hsinchu,0,4,3,4,3,3,,新竹市東區民生路129號1樓,24.81036010,120.97677310,,,,,,3,ChIJb2akxdo1aDQRZBbecavuPOc,300台灣新竹市東區民生路129號,OPERATIONAL,24.8103353,120.9767325,24.81172092989272,120.9781389298928,24.80902127010728,120.9754392701073,RX6G+4M 東區 新竹市,7QP2RX6G+4M,4.2,166,"[""cafe"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",2
1,4,967b0ccf-275c-4879-b520-d345bc118ae0,暗室微光,hsinchu,4,3,3,4,3.5,4,https://www.facebook.com/%E6%9A%97%E5%AE%A4%E5%BE%AE%E5%85%89-1635926836645979/,新竹市東區勝利路97號,24.80025000,120.96686800,no,maybe,no,,,4,ChIJW4nJGus1aDQR_uaQZjogRh0,300台灣新竹市東區勝利路97號,OPERATIONAL,24.8002562,120.9667737,24.80161017989272,120.9681156298927,24.79891052010728,120.9654159701073,RX28+3P 東區 新竹市,7QP2RX28+3P,4.4,1031,"[""cafe"", ""point_of_interest"", ""food"", ""establishment""]",1
2,29,c2e92077-3b86-426e-818c-cde2bcfe01a9,鹿可咖啡,hsinchu,4.5,5,5,4,4,4,https://www.facebook.com/lookcafe/,新竹市南門街96號,24.80223910,120.96735400,maybe,maybe,,,,29,ChIJ1SC0i-o1aDQRhv8pkHF1pok,300台灣新竹市東區南門街96號,OPERATIONAL,24.8020894,120.9670137,24.80344112989272,120.9683633798927,24.80074147010728,120.9656637201073,RX28+RR 東區 新竹市,7QP2RX28+RR,4.3,242,"[""cafe"", ""point_of_interest"", ""food"", ""establishment""]",0
3,30,5339e84c-b063-414f-8610-0f4464b55802,過日子。宅咖啡,hsinchu,3,3,2,5,4,5,,新竹縣竹北市新泰路10-2號,24.84155200,121.00590500,,,,,,30,ChIJldNeuL42aDQRpZ_pxi20l7A,302台灣新竹縣竹北市新泰路10-2號,CLOSED_PERMANENTLY,24.841609,121.0059774,24.84296482989272,121.0073315298927,24.84026517010728,121.0046318701073,R2R4+J9 竹北市 新竹縣,7QP3R2R4+J9,4.5,483,"[""cafe"", ""food"", ""store"", ""point_of_interest"", ""establishment""]",0
4,31,5ad62caa-0cf1-4ff4-bb78-1569f99035c3,Coffee SHOT 珈琲夏特,hsinchu,0,4,4,4,4,4,https://www.facebook.com/Coffee-SHOT-%E7%8F%88%E7%90%B2%E5%A4%8F%E7%89%B9-131973000635960/,新竹市中正路67巷內 / 東門市場1樓1049室 (影像博物館旁巷內),24.80469200,120.96890300,no,no,yes,,,31,ChIJOwzCvcE1aDQRQraJA0k6n1E,300台灣新竹市東區大同路72號,OPERATIONAL,24.8046187,120.9687522,24.80599092989272,120.9701514298928,24.80329127010728,120.9674517701073,RX39+VH 東區 新竹市,7QP2RX39+VH,4.6,144,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",0
5,32,fdc4df17-c9fa-4f1d-8040-588e092cd3a7,過日子咖啡,hsinchu,4,4,5,3,3,5,https://www.facebook.com/livelifecafe/,新竹市北區水田街91巷9號,24.81583000,120.96744200,,,,,,32,ChIJKe_Vf0seaDQRmeTe9mzHmXE,330台灣桃園市桃園區大業路二段27號,OPERATIONAL,25.0167144,121.3111041,25.01807647989272,121.3125173298927,25.01537682010727,121.3098176701073,2886+MC 桃園區 桃園市,7QQ32886+MC,4.4,297,"[""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",0
6,33,9e323d5d-2c86-4adc-8fe1-ea16c1103d14,Jin Coffee,hsinchu,5,5,5,5,5,5,https://zh-tw.facebook.com/JinCoffee0201/,302新竹縣竹北市文采街133號,24.83394580,121.01863180,no,maybe,no,,,33,ChIJK6An1-k2aDQRwo2hDrWZvYI,302台灣新竹縣竹北市文采街133號,OPERATIONAL,24.8338798,121.0185856,24.83520312989272,121.0199965798927,24.83250347010728,121.0172969201073,R2M9+HC 竹北市 新竹縣,7QP3R2M9+HC,4.8,232,"[""cafe"", ""bar"", ""food"", ""point_of_interest"", ""establishment""]",0
7,34,9f396814-f26a-4558-9f58-b85f3a11eae1,若木深夜咖啡廳,hsinchu,5,5,4,4,5,5,https://www.facebook.com/新銳咖啡竹北縣政店-332894730613367/,302新竹縣竹北市縣政二路70號,24.82350700,121.01460750,no,maybe,no,,,34,ChIJI1is5yo3aDQRMRk2B0UhqvA,302台灣新竹縣竹北市縣政二路70號,OPERATIONAL,24.823507,121.0146075,24.82488322989272,121.0158828298927,24.82218357010727,121.0131831701073,R2F7+CR 竹北市 新竹縣,7QP3R2F7+CR,4.6,262,"[""cafe"", ""point_of_interest"", ""store"", ""food"", ""establishment""]",0
8,35,1d715a3c-24a1-45e6-ba10-8844b43998ef,Hollatte馥拿鐵 自烘咖啡 竹北店,hsinchu,4,3,3,5,5,5,https://www.facebook.com/Hollatte/?ref=ts&fref=ts,新竹市東區金山七街70號,24.77732800,121.01988500,no,maybe,yes,,Hours 9:00 - 18:00,35,ChIJO_pZjoo3aDQRs1yTvYiq0TI,30264台灣新竹縣竹北市勝利三街150號,OPERATIONAL,24.8225397,121.028594,24.82395412989272,121.0299698798927,24.82125447010728,121.0272702201073,R2FH+2C 竹北市 新竹縣,7QP3R2FH+2C,4.7,234,"[""cafe"", ""food"", ""point_of_interest"", ""store"", ""establishment""]",0
9,36,1a16858b-75a6-49ff-be89-b4bb3b4cad31,綠禾塘,hsinchu,5,4,4,5,4,4,https://www.facebook.com/綠禾塘翔頂咖啡-332162806915678,新竹縣竹北市文興路一段123-12號,24.81176790,121.02625310,no,no,no,,"10:00 - 19:00, 週一公休 ",36,ChIJBazovPg2aDQRGPufQA76_ec,302台灣新竹縣竹北市文興路一段123-12號,OPERATIONAL,24.811869,121.0265683,24.81310452989272,121.0278424298927,24.81040487010728,121.0251427701073,R26G+PJ 竹北市 新竹縣,7QP3R26G+PJ,4.5,97,"[""cafe"", ""point_of_interest"", ""food"", ""establishment""]",0
10,37,d7b9df8f-12ea-4d24-beba-211efe50b04d,喜木咖啡,hsinchu,0,0,0,0,0,0,,302新竹縣竹北市鳳岡路二段422號,24.86110340,120.97371750,,,,,,37,ChIJ4aNqvgs0aDQRODUDMlvt0vE,302台灣新竹縣竹北市鳳岡路二段422號,OPERATIONAL,24.8610643,120.9737991,24.86234527989272,120.9750709798927,24.85964562010728,120.9723713201073,VX6F+CF 竹北市 新竹縣,7QP2VX6F+CF,4.0,738,"[""cafe"", ""home_goods_store"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",3
11,38,71ebabe1-0725-40f1-ab94-262c5f3b1b5d,福咖啡 Fu Café,hsinchu,0,0,0,0,0,0,https://www.facebook.com/fucafes/,新竹縣竹北市十興三街75號,24.82396900,121.03421200,maybe,maybe,yes,,,38,ChIJ1QayBRGpQjQRPpZG80JZ4-w,104台灣台北市中山區伊通街66巷9號1樓,OPERATIONAL,25.0526547,121.5340589,25.05395467989272,121.5354088298927,25.05125502010728,121.5327091701073,3G3M+3J 中山區 台北市,7QQ33G3M+3J,3.9,65,"[""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment""]",4
