,id,infoid,name,city,wifi,seat,quiet,tasty,cheap,music,url,address,latitude,longitude,limited_time,socket,standing_desk,mrt,open_time,info_id,place_id,formatted_address,business_status,location_lat,location_lng,viewport_ne_lat,viewport_ne_lng,viewport_sw_lat,viewport_sw_lng,compound_code,global_code,rating,user_ratings_total,types,cluster
0,1,2757ea6f-ec5c-4bf8-82e6-4f2afc10d66f,Knock Knock Coffee,hsinchu,5,5,4,4,3,4,https://instagram.com/knockknockcoffeebar?utm_medium=copy_link,300新竹市東區南大路375號,24.79661700,120.96867200,maybe,maybe,yes,,,2,ChIJd4p3WfdZkWsRnQdy5fZrhM8,"375 Turbot St, Spring Hill QLD 4000澳洲",OPERATIONAL,-27.4622287,153.0301867,-27.46073557010727,153.0316670798927,-27.46343522989272,153.0289674201073,G2QJ+43 斯普林希爾 澳洲昆士蘭州,5R4MG2QJ+43,4.7,22,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",1
1,2,c5f492bc-e6b9-4c55-89f3-ef84a5ca818c,微生咖啡Float Dept.「沒有訂位服務」,hsinchu,5,3,3,4,4,5,https://www.facebook.com/Floatdept/,30043新竹市民權路111巷23號,24.80733110,120.97451600,no,maybe,no,,,3,ChIJk7BAC9E1aDQRcKhHolfreyo,300台灣新竹市東區民權路111巷23號,OPERATIONAL,24.8073916,120.9744697,24.80872612989272,120.9758318298927,24.80602647010728,120.9731321701073,RX4F+WR 東區 新竹市,7QP2RX4F+WR,4.5,831,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",1
2,9,eab8deda-842c-43c6-b60a-8a25b8117303,Louisa Coffee 路易．莎咖啡(新竹武陵門市),hsinchu,4,5,3,2,5,3,,300 新竹市北區武陵路173-3號,24.82106830,120.96818990,no,maybe,no,,,10,ChIJo9k3pcs1aDQRYNVP64ej0Ik,300台灣新竹市北區武陵路173-3號,OPERATIONAL,24.8211326,120.9683629,24.82245132989272,120.9697443798927,24.81975167010728,120.9670447201073,RXC9+F8 北區 新竹市,7QP2RXC9+F8,3.7,398,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",3
3,10,61674645-ed9a-4e4b-900d-1dc30a5a9252,三島sum:dao,hsinchu,5,4,4,4,4,4.5,https://instagram.com/sum_dao?utm_medium=copy_link,302新竹縣竹北市科大一路185號,99.99999999,24.82052160,maybe,maybe,no,,,11,ChIJU9w2Bw43aDQRMgYZIsQpauk,302台灣新竹縣竹北市科大一路185號,OPERATIONAL,24.820561,121.011746,24.82183572989272,121.0130634798927,24.81913607010728,121.0103638201073,R2C6+6M 竹北市 新竹縣,7QP3R2C6+6M,4.4,234,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",1
4,11,e9b22e6d-2688-4af3-8430-f761da556381,11鹿 x 餡寶王,hsinchu,3.5,3,3,3,3,3,https://www.facebook.com/11deer/,新竹縣竹北市嘉豐十一路二段52號,24.80611310,121.03400640,,,,,,12,ChIJM3nDkQw3aDQRe4ZPqM_2RAY,302台灣新竹縣竹北市嘉豐十一路二段52號,OPERATIONAL,24.8061131,121.0340064,24.80741852989272,121.0354328798928,24.80471887010728,121.0327332201073,R24M+CJ 竹北市 新竹縣,7QP3R24M+CJ,3.5,371,"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",3
5,12,31cda686-3d0f-46e1-b272-1c139558a468,abrazamoslavida cafe歲月靜好咖啡館,hsinchu,0,0,0,0,0,0,,302新竹縣竹北市嘉興路239號,24.81788710,121.02863390,,,,,,13,ChIJ-2ky1RI3aDQRreRRvp9q2Zk,302台灣新竹縣竹北市嘉興路239號,OPERATIONAL,24.8178384,121.0282584,24.81915462989272,121.0296403798928,24.81645497010728,121.0269407201073,R29H+48 竹北市 新竹縣,7QP3R29H+48,4.6,134,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",1
6,13,b42d6b1b-c3fa-4f4c-a37f-41c140069ad9,Hollatte馥拿鐵 自烘咖啡 竹東店,hsinchu,5,4,4,5,5,5,https://m.facebook.com/hollatte4/?locale2=zh_TW,310新竹縣竹東鎮中興路二段240號,24.76186620,121.06142330,no,yes,yes,,例假日另行公告於粉絲專頁,14,ChIJta6vkuE3aDQRK0k0SOmzH1g,310台灣新竹縣竹東鎮中興路二段240號,OPERATIONAL,24.7618738,121.0614457,24.76321087989272,121.0627460798927,24.76051122010728,121.0600464201073,Q366+PH 竹東鎮 新竹縣,7QP3Q366+PH,4.7,275,"[""cafe"", ""food"", ""point_of_interest"", ""establishment""]",1
7,14,3b5340f4-ea6a-4373-b0f2-6939e7813820,ca va 小日和,hsinchu,4,5,5,4,4,4,https://m.facebook.com/cava0811/,300新竹市北區江山街17巷之4號,24.80478830,120.96443610,no,maybe,no,,,15,ChIJyys_AsE1aDQRKoHx5Ce44P4,300台灣新竹市北區江山街17巷之4號,OPERATIONAL,24.8048879,120.9641849,24.80626572989272,120.9655091298927,24.80356607010728,120.9628094701073,RX37+XM 北區 新竹市,7QP2RX37+XM,4.4,104,"[""cafe"", ""point_of_interest"", ""food"", ""establishment""]",1
8,15,efc9d9ec-0c9b-4b80-88e9-ab534dd2fc0b,Plunge Cafe 墣玉咖啡,hsinchu,4,3,3,3,3,2,https://www.facebook.com/plungecafe/,新竹縣竹北市復興二路203號,24.80994320,121.03750840,,,,,,16,ChIJnWFO6wA3aDQReZ2c6yXKDZo,302台灣新竹縣竹北市復興二路203號,CLOSED_TEMPORARILY,24.8100845,121.0373256,24.81134932989272,121.0386397798927,24.80864967010728,121.0359401201073,R26P+2W 竹北市 新竹縣,7QP3R26P+2W,4.0,77,"[""cafe"", ""point_of_interest"", ""food"", ""establishment""]",3
9,16,887c24aa-e433-4f24-9d8d-ce89927370b9,參拾穗精品咖啡,hsinchu,0,0,0,0,0,0,,300新竹市東區東南街142巷10號,24.79716530,120.97382770,,,,,,17,ChIJReNlNPA1aDQRKfzkCc71toA,300台灣新竹市東區民族路127巷3號,OPERATIONAL,24.8085674,120.9775268,24.80996072989272,120.9789476798927,24.80726107010728,120.9762480201073,RX5H+C2 東區 新竹市,7QP2RX5H+C2,5.0,37,"[""food"", ""point_of_interest"", ""store"", ""establishment""]",1
